" ","score","status","future"
"Index",67.91,,68.95
"Food Provision",3.56,3.44,3.68
". Fisheries",3.52,3.41,3.64
". Mariculture",28.18,26.03,30.33
"Artisanal Fishing Opportunity",72.77,69.94,75.6
"Natural Products",4.21,4.02,4.4
"Carbon Storage",,100,
"Coastal Protection",70.84,68.75,72.94
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",86.17,85,87.35
". Iconic Species",72.35,70,74.69
". Lasting Special Places",100,100,100
"Clean Waters",80.79,78.38,83.2
"Biodiversity",92.88,92.33,93.42
". Habitats",99.9,99.81,100
". Species",85.85,84.86,86.84
